,link,num
0,https://www.ytn.co.kr/_ln/0102_202306080700014036,5
1,https://biz.sbs.co.kr/article_hub/20000121315?division=NAVER,4
2,https://www.chosun.com/economy/economy_general/2023/06/07/2QT3QPO3H5AMVINGBZXPSRBHM4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,4
